state,county,population
Alabama,Autauga,55869
Alabama,Baldwin,223234
Alabama,Barbour,24686
Alabama,Bibb,22394
Alabama,Blount,57826
Alabama,Bullock,10101
Alabama,Butler,19448
Alabama,Calhoun,113605
Alabama,Chambers,33254
Alabama,Cherokee,26196
Alabama,Chilton,44428
Alabama,Choctaw,12589
Alabama,Clarke,23622
Alabama,Clay,13235
Alabama,Cleburne,14910
Alabama,Coffee,52342
Alabama,Colbert,55241
Alabama,Conecuh,12067
Alabama,Coosa,10663
Alabama,Covington,37049
Alabama,Crenshaw,13772
Alabama,Cullman,83768
Alabama,Dale,49172
Alabama,Dallas,37196
Alabama,DeKalb,71513
Alabama,Elmore,81209
Alabama,Escambia,36633
Alabama,Etowah,102268
Alabama,Fayette,16302
Alabama,Franklin,31362
Alabama,Geneva,26271
Alabama,Greene,8111
Alabama,Hale,14651
Alabama,Henry,17205
Alabama,Houston,105882
Alabama,Jackson,51626
Alabama,Jefferson,658573
Alabama,Lamar,13805
Alabama,Lauderdale,92729
Alabama,Lawrence,32924
Alabama,Lee,164542
Alabama,Limestone,98915
Alabama,Lowndes,9726
Alabama,Macon,18068
Alabama,Madison,372909
Alabama,Marengo,18863
Alabama,Marion,29709
Alabama,Marshall,96774
Alabama,Mobile,413210
Alabama,Monroe,20733
Alabama,Montgomery,226486
Alabama,Morgan,119679
Alabama,Perry,8923
Alabama,Pickens,19930
Alabama,Pike,33114
Alabama,Randolph,22722
Alabama,Russell,57961
Alabama,St. Clair,89512
Alabama,Shelby,217702
Alabama,Sumter,12427
Alabama,Talladega,79978
Alabama,Tallapoosa,40367
Alabama,Tuscaloosa,209355
Alabama,Walker,63521
Alabama,Washington,16326
Alabama,Wilcox,10373
Alabama,Winston,23629
Alaska,Anchorage,NaN
Alaska,Bethel Census Area,18386
Alaska,Fairbanks North Star Borough,96849
Alaska,Juneau City and Borough,31974
Alaska,Kenai Peninsula Borough,58708
Alaska,Ketchikan Gateway Borough,13901
Alaska,Kodiak Island Borough,12998
Alaska,Matanuska_Susitna Borough,NaN
Alaska,Nome Census Area,10004
Alaska,Petersburg Borough,3266
Alaska,Prince of Wales_Hyder Census Area,NaN
Alaska,Sitka City and Borough,8493
Alaska,Southeast Fairbanks Census Area,6893
Alaska,Yukon_Koyukuk Census Area,NaN
Arizona,Apache,71887
Arizona,Cochise,125922
Arizona,Coconino,143476
Arizona,Gila,54018
Arizona,Graham,38837
Arizona,Greenlee,9498
Arizona,La Paz,21108
Arizona,Maricopa,4485414
Arizona,Mohave,212181
Arizona,Navajo,110924
Arizona,Pima,1047279
Arizona,Pinal,462789
Arizona,Santa Cruz,46498
Arizona,Yavapai,235099
Arizona,Yuma,213787
Arkansas,Arkansas,17486
Arkansas,Ashley,19657
Arkansas,Baxter,41932
Arkansas,Benton,279141
Arkansas,Boone,37432
Arkansas,Bradley,10763
Arkansas,Carroll,28380
Arkansas,Chicot,10118
Arkansas,Clark,22320
Arkansas,Clay,14551
Arkansas,Cleburne,24919
